;Name;PSNR_00;SSIM_00;LPIPS_00;tOF_00;tLP100_00
17;Patin_360_Test_Gaussian_Noise_03_BlurGaussian_05_03_3__3;31.814762;0.8915374;0.20492731;0.7830736;19.73402
17;Patin_360_Test_RSS_SS_ST_3__1;31.916735;0.9505625;0.04968147;0.43324333;0.3982136
17;Patin_360_Test_RSS_SS_ST_3__2;31.925682;0.9505366;0.049617633;0.43413576;0.38940355
17;Patin_360_Test_RSS_SS_ST_3__3;31.920008;0.95056254;0.049639814;0.43357575;0.39131373
17;Patin_360_Test_RSS_SS_3__1;31.916735;0.9505625;0.049681515;0.43324333;0.39819753
17;Patin_360_Test_RSS_SS_3__2;31.925686;0.9505366;0.049617644;0.4341358;0.3893887
17;Patin_360_Test_RSS_SS_3__3;31.920004;0.95056254;0.04964;0.43357646;0.39130476
18;Patin_Test_control_10__1;36.148983;0.97938627;0.026539747;0.2751459;0.14976263
18;Patin_Test_control_10__2;36.148983;0.97938627;0.02653979;0.2751487;0.14975919
18;Patin_Test_control_10__3;36.148983;0.97938627;0.026539754;0.27514845;0.14975555
18;Patin_Test_control_10__4;36.148983;0.97938627;0.026539767;0.2751487;0.14976066
18;Patin_Test_control_10__5;36.148983;0.97938627;0.026539776;0.27514863;0.14975196
18;Patin_Test_control_10__6;36.14898;0.97938627;0.026539769;0.27514845;0.14975215
18;Patin_Test_control_10__7;36.14898;0.97938627;0.026539749;0.27514845;0.14974755
18;Patin_Test_control_10__8;36.14898;0.97938627;0.026539763;0.2751487;0.14975476
18;Patin_Test_control_10__9;36.14898;0.97938627;0.026539728;0.27514848;0.14975183
18;Patin_Test_control_10__10;36.14898;0.97938627;0.026539735;0.27514848;0.14975247
18;Patin_Test_control_3__1;36.148983;0.9793864;0.026539758;0.27514896;0.14975682
18;Patin_Test_control_3__2;36.14898;0.97938627;0.02653974;0.2751488;0.14976469
18;Patin_Test_control_3__3;36.14898;0.97938627;0.02653977;0.27514878;0.14975873
18;Patin_Test_RSS_2_1_10__1;36.148293;0.9794056;0.026466137;0.27541977;0.15053894
18;Patin_Test_RSS_2_1_10__2;36.148003;0.97942024;0.026431896;0.2752949;0.14801753
18;Patin_Test_RSS_2_1_10__3;36.149723;0.97942924;0.026406886;0.2756819;0.14652187
18;Patin_Test_RSS_2_1_10__4;36.150673;0.9794356;0.026394388;0.27572808;0.14822203
18;Patin_Test_RSS_2_1_10__5;36.151756;0.9794362;0.02642113;0.2758341;0.14951499
18;Patin_Test_RSS_2_1_10__6;36.151638;0.979436;0.026409768;0.2762597;0.14951923
18;Patin_Test_RSS_2_1_10__7;36.152466;0.97944045;0.026398858;0.27612427;0.14815083
18;Patin_Test_RSS_2_1_10__8;36.15293;0.9794435;0.026394356;0.27600497;0.14947
18;Patin_Test_RSS_2_1_10__9;36.152767;0.9794436;0.026405936;0.2756881;0.14911075
